Cooling Setpoint,North,East,South,West
60,138.719,350.124,372.881,336.355
61,135.025,339.381,350.138,325.119
62,131.454,329.715,333.794,314.89
63,129.976,325.572,326.025,310.443
64,127.933,319.754,314.952,304.234
65,126.374,315.272,307.202,299.561
66,124.277,309.284,296.278,293.262
67,122.918,305.497,290.662,289.404
68,120.221,297.664,276.541,281.343
69,117.11,288.661,261.382,272.149
70,112.789,277.053,242.795,260.044
71,110.881,271.623,235.658,254.779
72,108.9,265.749,226.94,249.121
73,106.021,257.444,215.594,240.797
74,103.013,248.569,204.809,232.327
75,98.887,236.418,187.317,220.347
76,95.427,226.255,174.952,210.382
77,90.844,213.741,160.416,198.149
78,89.422,209.342,154.626,194.033
79,86.121,200.688,146.469,185.724
80,80.18,183.858,128.777,169.626
81,78.482,179.352,123.242,165.224
82,76.783,174.542,118.315,160.856
83,75.844,172.138,115.902,158.514
84,70.599,160.323,107.321,147.331
85,67.567,152.695,100.95,140.271
86,65.348,147.533,97.435,135.465
87,61.732,137.54,88.676,126.668
88,57.546,127.092,80.76,117.232
89,53.63,117.834,74.458,108.748
90,50.297,109.183,67.557,101.097
