Heating Setpoint,North,East,South,West
55,4.831,14.156,33.422,15.254
56,5.972,17.307,39.593,18.642
57,8.381,24.385,54.463,26.193
58,9.296,26.852,58.947,28.884
59,11.736,33.605,71.138,35.738
60,13.555,38.808,82.37,41.217
61,17.249,49.551,105.113,52.453
62,20.82,59.217,121.457,62.682
63,22.298,63.36,129.226,67.129
64,24.341,69.178,140.299,73.338
65,25.9,73.66,148.049,78.011
66,27.997,79.648,158.973,84.31
67,29.356,83.435,164.589,88.168
68,32.053,91.268,178.71,96.229
69,35.164,100.271,193.869,105.423
70,39.192,111.057,210.927,116.689
71,41.393,117.309,219.593,122.793
72,43.374,123.183,228.311,128.451
73,46.253,131.488,239.657,136.775
74,49.261,140.363,250.442,145.245
75,53.387,152.514,267.934,157.225
76,56.847,162.677,280.299,167.19
77,61.43,175.191,294.835,179.423
78,62.852,179.59,300.625,183.539
79,66.153,188.244,308.782,191.848
80,72.094,205.074,326.474,207.946
81,73.792,209.58,332.009,212.348
82,75.491,214.39,336.936,216.716
83,76.43,216.794,339.349,219.058
84,81.675,228.609,347.93,230.241
85,84.707,236.237,354.301,237.301
